MDY,177.379,28.2036,8863.8
ADK,176.646,51.8781,8842.88
AKA,174.206,52.2203,8573.87
SYA,174.114,52.7122,8566.39
ATU,173.18,52.8283,8463.43
GAM,171.733,63.7667,8380.93
SVA,170.493,63.6864,8242.77
SNP,170.221,57.1672,8162.59
PPG,170.711,14.3317,8155.22
PBV,169.664,56.5772,8096.73
Z08,169.67,14.1844,8040.12
HI36,169.511,14.2292,8022.28
FAQ,169.424,14.2161,8012.61
IWK,168.095,65.6225,7993.69
IKO,168.849,52.9417,7983.16
TNC,167.922,65.5631,7973.95
AK98,167.486,65.6386,7926.32
AK45,167.176,65.4561,7890.32
LSR,167.163,65.3961,7888.41
PHO,166.799,68.3489,7875.1
KPC,166.859,65.2536,7853.4
KTS,166.466,65.3314,7810.56
LUR,166.11,68.875,7803.74
TER,166.339,65.2403,7795.75
SHH,166.089,66.2494,7777.04
AK23,166.877,53.9711,7770.51
3Z1,166.132,64.8317,7769.15
MYU,166.271,60.3714,7747.84
HPB,166.147,61.5239,7743.16
CZF,166.039,61.7811,7733.32
DUT,166.544,53.9,7733.03
OME,165.445,64.5122,7690.29
AWK,166.642,19.28,7685.33
94Z,165.396,64.5131,7684.81
VAK,165.601,61.5408,7682.76
SCM,165.574,61.8444,7682.22
Z47,165.3,64.6797,7675.61
Z81,165.012,64.9092,7645.78
4KA,165.272,60.5756,7638.64
HFS,166.285,23.8641,7635.01
AK49,164.799,65.6792,7628.92
KVL,164.564,67.7361,7621.67
OOK,165.087,60.5414,7617.91
5QC,164.656,65.4058,7610.63
SXP,164.848,62.5206,7607.23
AUK,164.66,62.68,7587.72
AK26,164.442,64.5606,7579.54
IGT,164.701,60.4711,7574.51
EWU,164.641,60.9392,7571.56
ENM,164.491,62.7861,7569.84
26AK,164.914,54.5825,7556.47
CFK,164.286,60.1492,7525.97
K29,163.703,64.8978,7500.6
IIK,164.031,59.9331,7496.03
MOU,163.682,62.0953,7474.48
PIZ,163.011,69.7322,7468.87
4Z2,163.329,65.9047,7468.1
WMO,163.413,64.6892,7466.58
2A9,163.533,63.0306,7465.68
WTK,162.98,67.5611,7444.66
DGG,162.899,68.0322,7440.11
KSM,163.302,62.0608,7432.06
N93,163.007,64.5506,7420.42
DEE,162.766,66.0694,7407.23
GGV,163.169,59.8764,7399.99
OTZ,162.599,66.8847,7396.09
KFP,163.41,54.8475,7391.23
0AK,162.899,61.9344,7386.41
2AK9,162.464,65.6736,7370.18
DUY,162.881,59.9608,7368.75
2AK8,161.903,70.2925,7351.76
A61,162.667,60.3353,7347.9
ELI,162.271,64.615,7339.35
Z09,162.524,60.8733,7336.32
WBB,162.278,63.5161,7330.7
16A,162.441,60.9061,7327.28
CDB,162.726,55.2061,7317.58
